,index,0
1460,protecteurs,6
1461,nomment,28
1462,direct,131
1463,quiconque,9
1464,attaque,325
1465,marchand,24
1466,chevalier,78
1467,rendant,59
1468,ost,10
1469,affaire,159
1470,successeurs,46
1471,monarques,12
1472,hauts,74
1473,fonctionnaires,70
1474,exercent,25
1475,permet,961
1476,obtenir,243
1477,oblige,53
1478,perfectionner,9
1479,souverains,45
1480,peuvent,830
1481,difficilement,36
1482,tenir,87
1483,manche,100
1484,permanentes,21
1485,voient,91
1486,henri,528
1487,office,175
1488,justicier,6
1489,administrer,16
1490,justiciers,5
1491,rappelle,120
1492,missi,2
1493,dominici,5
1494,charlemagne,35
1495,ducal,7
1496,caen,16
1497,assure,139
1498,comptes,45
1499,retrouve,417
1500,perd,239
1501,servent,73
1502,exemples,143
1503,coutume,99
1504,reprenant,43
1505,locaux,163
1506,sert,157
1507,notons,18
1508,beauclerc,3
1509,ici,163
1510,institution,62
1511,anglaise,120
1512,puissante,66
1513,davantage,127
1514,nuances,17
1515,plonge,19
1516,anarchie,12
1517,successions,19
1518,ducales,4
1519,passent,74
1520,trop,415
1521,debord,1
1522,constate,47
1523,crise,247
1524,temps,1538
1525,assurance,28
1526,difficiles,81
1527,profite,106
1528,barons,52
1529,particulier,570
1530,marges,11
1531,bauduin,3
1532,louise,94
1533,conformes,16
1534,construisent,14
1535,autorisation,63
1536,mottes,5
1537,importance,303
1538,octroient,2
1539,produit,469
1540,intermittence,6
1541,finit,245
1542,mate,1
1543,rebelles,45
1544,renoue,21
1545,liens,107
1546,distendus,2
1547,signification,68
1548,lion,65
1549,montre,260
1550,visages,11
1551,capables,63
1552,proie,24
1553,meurt,272
1554,fritz,31
1555,haber,30
1556,breslau,9
1557,allemagne,510
1558,pologne,116
1559,suisse,736
1560,chimiste,20
1561,allemand,494
1562,nobel,30
1563,chimie,52
1564,ammoniac,2
1565,engrais,25
1566,explosifs,11
1567,arme,127
1568,chimique,42
1569,dichlore,1
1570,gaz,108
1571,toxiques,41
1572,juive,64
1573,contraint,102
1574,exil,84
1575,mourut,73
1576,bourgeoisie,48
1577,allemande,259
1578,faisait,180
1579,peintures,60
1580,chimiques,58
1581,semaines,182
1582,tint,23
1583,responsable,180
1584,tensions,82
1585,commencer,53
1586,formation,444
1587,travaille,156
1588,entreprise,273
1589,polytechnique,21
1590,zurich,222
1591,heidelberg,7
1592,bunsen,1
1593,berlin,133
1594,groupe,1214
1595,hoffmann,11
1596,technique,339
1597,charlottenburg,1
1598,carl,92
1599,liebermann,1
1600,abjure,3
1601,devenir,282
1602,protestant,55
1603,marie,425
1604,tournant,80
1605,clara,22
1606,immerwahr,4
1607,brillante,23
1608,nait,11
1609,hermann,27
1610,grossesse,49
1611,difficile,245
1612,abandonne,147
1613,occuper,65
1614,mari,113
1615,unis,886
1616,suicide,193
1617,remarie,10
1618,octobre,528
1619,charlotte,19
1620,nathan,8
1621,fille,462
1622,eva,9
1623,ludwig,68
1624,divorceront,2
1625,tort,33
1626,mdma,1
1627,drogue,33
1628,anton,12
1629,travaillait,17
1630,merk,1
1631,brevet,47
1632,karlsruhe,5
1633,catalytique,4
1634,azote,20
1635,conditions,267
1636,basf,3
1637,adoptera,4
1638,impulsion,43
1639,bosch,5
1640,officiel,142
1641,influent,28
1642,signataires,13
1643,manifeste,85
1644,document,82
1645,revue,163
1646,scientifique,251
