,index,0
1083,construisant,11
1084,expansionnistes,3
1085,voisins,87
1086,furent,628
1087,bataille,492
1088,sekigahara,2
1089,daimyo,3
1090,cents,101
1091,princes,98
1092,seigneurs,92
1093,revenu,102
1094,annuel,68
1095,riz,77
1096,avaient,464
1097,moindre,109
1098,appartenaient,15
1099,ayant,914
1100,certaine,171
1101,autonomie,77
1102,assujettis,8
1103,bushido,3
1104,devaient,81
1105,suivre,116
1106,loi,628
1107,maisons,161
1108,buke,1
1109,obligations,34
1110,entretenir,20
1111,demeurer,11
1112,six,668
1113,mois,749
1114,otage,22
1115,leur,3358
1116,famille,878
1117,vassaux,17
1118,voyage,216
1119,consistant,29
1120,hommage,163
1121,appelait,38
1122,dire,576
1123,procession,20
1124,eurent,48
1125,permission,24
1126,navires,137
1127,haute,483
1128,durent,34
1129,veiller,13
1130,christianisme,85
1131,interdit,134
1132,meiji,19
1133,han,14
1134,tous,1569
1135,abolis,6
1136,ken,13
1137,anciens,410
1138,gouvernement,767
1139,tokyo,76
1140,familles,156
1141,connues,96
1142,nabeshima,1
1143,imagawa,1
1144,mori,8
1145,luminy,3
1146,esil,2
1147,tutelle,59
1148,composante,34
1149,aix,60
1150,marseille,128
1151,membre,411
1152,proposait,18
1153,technologie,95
1154,fusionne,46
1155,polytech,3
1156,marseillaises,2
1157,naissance,276
1158,amu,2
1159,toutes,908
1160,cti,1
1161,continuent,56
1162,label,84
1163,regroupe,123
1164,universitaires,54
1165,trentaine,58
1166,normandie,202
1167,royaume,681
1168,abord,530
1169,autonome,86
1170,royal,230
1171,apanage,14
1172,supprime,22
1173,insulaire,14
1174,anglo,79
1175,normandes,20
1176,couronne,165
1177,britannique,348
1178,flandre,57
1179,catalogne,28
1180,milieu,443
1181,affaiblissement,15
1182,pouvoir,913
1183,carolingien,16
1184,raids,19
1185,vikings,70
1186,francs,198
1187,simple,291
1188,chefs,130
1189,rollon,57
1190,seine,132
1191,concession,38
1192,embryon,15
1193,mettent,108
1194,solide,75
1195,puissant,79
1196,atteint,319
1197,quand,649
1198,empare,49
1199,angleterre,416
1200,cinquante,92
1201,destin,55
1202,installation,103
1203,normand,36
1204,rayonnement,57
1205,autrefois,111
1206,auguste,374
1207,confisque,1
1208,rattache,11
1209,tant,806
1210,tel,295
1211,parties,235
1212,appartenant,115
1213,jamais,504
1214,conquise,22
1215,durablement,30
1216,exister,36
1217,serait,435
1218,jersey,40
1219,guernesey,2
1220,bailliages,9
1221,uni,170
1222,officieux,7
1223,citoyens,152
